contratacion_id,empresa_id,empresa,anio,mes,mes_nombre,trimestre,rol,candidatos_recibidos,entrevistados,ofertas_enviadas,contratados,tasa_conversion_pct,tiempo_contratacion_dias,fuente_principal
CNT00001,E01,Accenture Monterrey,2023,1,January,Q1,Data Analyst,280,106,38,23,8.21,37,OCC Mundial
CNT00002,E01,Accenture Monterrey,2023,1,January,Q1,Software Developer,630,164,49,34,5.4,40,OCC Mundial
CNT00003,E01,Accenture Monterrey,2023,1,January,Q1,Backend Developer,351,138,35,23,6.55,62,OCC Mundial
CNT00004,E01,Accenture Monterrey,2023,1,January,Q1,Frontend Developer,192,51,17,11,5.73,59,LinkedIn
CNT00005,E01,Accenture Monterrey,2023,1,January,Q1,Full Stack Developer,380,147,53,45,11.84,55,Glassdoor
CNT00006,E01,Accenture Monterrey,2023,1,January,Q1,DevOps Engineer,216,85,19,11,5.09,57,Universidad UANL/ITESM
CNT00007,E01,Accenture Monterrey,2023,1,January,Q1,Cloud Architect,143,63,12,10,6.99,57,Referidos
CNT00008,E01,Accenture Monterrey,2023,1,January,Q1,Scrum Master,192,71,27,19,9.9,27,Referidos
CNT00009,E01,Accenture Monterrey,2023,1,January,Q1,Project Manager,112,48,15,11,9.82,45,OCC Mundial
CNT00010,E01,Accenture Monterrey,2023,1,January,Q1,Cybersecurity Analyst,110,38,11,7,6.36,19,LinkedIn
CNT00011,E01,Accenture Monterrey,2023,2,February,Q1,Data Analyst,250,88,25,17,6.8,44,Universidad UANL/ITESM
CNT00012,E01,Accenture Monterrey,2023,2,February,Q1,Software Developer,555,185,44,31,5.59,35,OCC Mundial
CNT00013,E01,Accenture Monterrey,2023,2,February,Q1,Backend Developer,196,52,13,10,5.1,56,LinkedIn
CNT00014,E01,Accenture Monterrey,2023,2,February,Q1,Frontend Developer,300,112,40,33,11.0,45,Referidos
CNT00015,E01,Accenture Monterrey,2023,2,February,Q1,Full Stack Developer,532,138,48,32,6.02,32,LinkedIn
CNT00016,E01,Accenture Monterrey,2023,2,February,Q1,DevOps Engineer,306,111,39,25,8.17,60,OCC Mundial
CNT00017,E01,Accenture Monterrey,2023,2,February,Q1,Cloud Architect,187,79,21,15,8.02,32,LinkedIn
CNT00018,E01,Accenture Monterrey,2023,2,February,Q1,Scrum Master,90,25,8,5,5.56,43,Csoftmty Jobs
CNT00019,E01,Accenture Monterrey,2023,2,February,Q1,Project Manager,140,42,12,7,5.0,62,OCC Mundial
CNT00020,E01,Accenture Monterrey,2023,2,February,Q1,Cybersecurity Analyst,108,36,9,8,7.41,61,Glassdoor
CNT00021,E01,Accenture Monterrey,2023,3,March,Q1,Data Analyst,261,74,16,9,3.45,62,LinkedIn
CNT00022,E01,Accenture Monterrey,2023,3,March,Q1,Software Developer,403,122,29,22,5.46,43,LinkedIn
CNT00023,E01,Accenture Monterrey,2023,3,March,Q1,Backend Developer,300,130,29,17,5.67,48,Referidos
CNT00024,E01,Accenture Monterrey,2023,3,March,Q1,Frontend Developer,252,80,25,19,7.54,32,Referidos
CNT00025,E01,Accenture Monterrey,2023,3,March,Q1,Full Stack Developer,165,56,13,11,6.67,62,OCC Mundial
CNT00026,E01,Accenture Monterrey,2023,3,March,Q1,DevOps Engineer,121,32,9,5,4.13,24,LinkedIn
CNT00027,E01,Accenture Monterrey,2023,3,March,Q1,Cloud Architect,176,54,20,14,7.95,20,LinkedIn
CNT00028,E01,Accenture Monterrey,2023,3,March,Q1,Scrum Master,187,68,23,20,10.7,23,OCC Mundial
CNT00029,E01,Accenture Monterrey,2023,3,March,Q1,Project Manager,208,78,29,18,8.65,40,LinkedIn
CNT00030,E01,Accenture Monterrey,2023,3,March,Q1,Cybersecurity Analyst,70,26,8,6,8.57,36,LinkedIn
CNT00031,E01,Accenture Monterrey,2023,4,April,Q2,Data Analyst,476,163,55,47,9.87,39,OCC Mundial
CNT00032,E01,Accenture Monterrey,2023,4,April,Q2,Software Developer,598,210,75,53,8.86,27,Referidos
CNT00033,E01,Accenture Monterrey,2023,4,April,Q2,Backend Developer,176,66,15,10,5.68,24,LinkedIn
CNT00034,E01,Accenture Monterrey,2023,4,April,Q2,Frontend Developer,220,62,24,17,7.73,33,Referidos
CNT00035,E01,Accenture Monterrey,2023,4,April,Q2,Full Stack Developer,270,76,17,13,4.81,33,LinkedIn
CNT00036,E01,Accenture Monterrey,2023,4,April,Q2,DevOps Engineer,176,45,15,11,6.25,23,Glassdoor
CNT00037,E01,Accenture Monterrey,2023,4,April,Q2,Cloud Architect,110,40,10,7,6.36,55,Referidos
CNT00038,E01,Accenture Monterrey,2023,4,April,Q2,Scrum Master,180,74,17,15,8.33,40,Csoftmty Jobs
CNT00039,E01,Accenture Monterrey,2023,4,April,Q2,Project Manager,154,59,18,14,9.09,24,Universidad UANL/ITESM
CNT00040,E01,Accenture Monterrey,2023,4,April,Q2,Cybersecurity Analyst,285,89,23,17,5.96,24,LinkedIn
CNT00041,E01,Accenture Monterrey,2023,5,May,Q2,Data Analyst,684,249,54,39,5.7,44,OCC Mundial
CNT00042,E01,Accenture Monterrey,2023,5,May,Q2,Software Developer,756,287,83,55,7.28,30,OCC Mundial
CNT00043,E01,Accenture Monterrey,2023,5,May,Q2,Backend Developer,360,144,34,21,5.83,56,OCC Mundial
CNT00044,E01,Accenture Monterrey,2023,5,May,Q2,Frontend Developer,300,97,23,16,5.33,64,Referidos
CNT00045,E01,Accenture Monterrey,2023,5,May,Q2,Full Stack Developer,315,112,23,16,5.08,23,Referidos
CNT00046,E01,Accenture Monterrey,2023,5,May,Q2,DevOps Engineer,266,91,24,20,7.52,28,LinkedIn
CNT00047,E01,Accenture Monterrey,2023,5,May,Q2,Cloud Architect,104,37,10,6,5.77,31,Glassdoor
CNT00048,E01,Accenture Monterrey,2023,5,May,Q2,Scrum Master,168,47,13,10,5.95,28,LinkedIn
CNT00049,E01,Accenture Monterrey,2023,5,May,Q2,Project Manager,143,46,9,7,4.9,50,OCC Mundial
CNT00050,E01,Accenture Monterrey,2023,5,May,Q2,Cybersecurity Analyst,324,133,33,21,6.48,52,OCC Mundial
CNT00051,E01,Accenture Monterrey,2023,6,June,Q2,Data Analyst,551,241,78,62,11.25,39,OCC Mundial
CNT00052,E01,Accenture Monterrey,2023,6,June,Q2,Software Developer,558,184,61,50,8.96,26,LinkedIn
CNT00053,E01,Accenture Monterrey,2023,6,June,Q2,Backend Developer,390,127,44,36,9.23,46,LinkedIn
CNT00054,E01,Accenture Monterrey,2023,6,June,Q2,Frontend Developer,266,97,32,21,7.89,32,OCC Mundial
CNT00055,E01,Accenture Monterrey,2023,6,June,Q2,Full Stack Developer,209,72,17,15,7.18,43,LinkedIn
CNT00056,E01,Accenture Monterrey,2023,6,June,Q2,DevOps Engineer,180,49,13,8,4.44,26,LinkedIn
CNT00057,E01,Accenture Monterrey,2023,6,June,Q2,Cloud Architect,192,62,22,14,7.29,27,LinkedIn
CNT00058,E01,Accenture Monterrey,2023,6,June,Q2,Scrum Master,63,18,5,4,6.35,31,LinkedIn
CNT00059,E01,Accenture Monterrey,2023,6,June,Q2,Project Manager,126,33,12,7,5.56,36,LinkedIn
CNT00060,E01,Accenture Monterrey,2023,6,June,Q2,Cybersecurity Analyst,224,75,27,21,9.38,37,OCC Mundial
CNT00061,E01,Accenture Monterrey,2023,7,July,Q3,Data Analyst,450,151,45,29,6.44,22,Referidos
CNT00062,E01,Accenture Monterrey,2023,7,July,Q3,Software Developer,324,108,43,31,9.57,51,Universidad UANL/ITESM
CNT00063,E01,Accenture Monterrey,2023,7,July,Q3,Backend Developer,230,96,30,26,11.3,55,OCC Mundial
CNT00064,E01,Accenture Monterrey,2023,7,July,Q3,Frontend Developer,330,115,23,14,4.24,21,Referidos
CNT00065,E01,Accenture Monterrey,2023,7,July,Q3,Full Stack Developer,285,83,17,14,4.91,20,LinkedIn
CNT00066,E01,Accenture Monterrey,2023,7,July,Q3,DevOps Engineer,144,38,12,9,6.25,40,Glassdoor
CNT00067,E01,Accenture Monterrey,2023,7,July,Q3,Cloud Architect,135,40,8,5,3.7,58,LinkedIn
CNT00068,E01,Accenture Monterrey,2023,7,July,Q3,Scrum Master,64,16,5,3,4.69,47,LinkedIn
CNT00069,E01,Accenture Monterrey,2023,7,July,Q3,Project Manager,252,102,30,26,10.32,18,Referidos
CNT00070,E01,Accenture Monterrey,2023,7,July,Q3,Cybersecurity Analyst,153,67,21,14,9.15,24,LinkedIn
CNT00071,E01,Accenture Monterrey,2023,8,August,Q3,Data Analyst,234,67,14,9,3.85,26,Universidad UANL/ITESM
