ingreso_id,empresa_id,empresa,tipo_empresa,anio,mes,mes_nombre,trimestre,ingresos_mxn,costos_mxn,margen_bruto_mxn,margen_pct,empleados_activos,revenue_por_empleado_mxn
ING00001,E01,Accenture Monterrey,Consultoría Global,2023,1,January,Q1,114500806.48,77051391.14,37449415.33,32.71,1791,63931.22
ING00002,E01,Accenture Monterrey,Consultoría Global,2023,2,February,Q1,116714191.62,79886768.8,36827422.83,31.55,1830,63778.25
ING00003,E01,Accenture Monterrey,Consultoría Global,2023,3,March,Q1,127435926.43,83992391.45,43443534.98,34.09,1794,71034.52
ING00004,E01,Accenture Monterrey,Consultoría Global,2023,4,April,Q2,140411198.72,82840627.8,57570570.92,41.0,1781,78838.4
ING00005,E01,Accenture Monterrey,Consultoría Global,2023,5,May,Q2,144821442.17,95324507.91,49496934.27,34.18,1849,78324.2
ING00006,E01,Accenture Monterrey,Consultoría Global,2023,6,June,Q2,143774603.35,95229330.37,48545272.97,33.76,1836,78308.61
ING00007,E01,Accenture Monterrey,Consultoría Global,2023,7,July,Q3,127790107.0,82540148.1,45249958.9,35.41,1849,69113.09
ING00008,E01,Accenture Monterrey,Consultoría Global,2023,8,August,Q3,156930699.5,112252022.99,44678676.51,28.47,1801,87135.31
ING00009,E01,Accenture Monterrey,Consultoría Global,2023,9,September,Q3,150719311.98,106178820.76,44540491.22,29.55,1786,84389.31
ING00010,E01,Accenture Monterrey,Consultoría Global,2023,10,October,Q4,159458427.06,97153203.11,62305223.95,39.07,1831,87088.16
ING00011,E01,Accenture Monterrey,Consultoría Global,2023,11,November,Q4,145753169.08,101984215.03,43768954.05,30.03,1838,79299.87
ING00012,E01,Accenture Monterrey,Consultoría Global,2023,12,December,Q4,145432090.9,94015892.18,51416198.73,35.35,1846,78782.28
ING00013,E01,Accenture Monterrey,Consultoría Global,2024,1,January,Q1,141303135.47,85463185.94,55839949.52,39.52,1808,78154.39
ING00014,E01,Accenture Monterrey,Consultoría Global,2024,2,February,Q1,128242093.09,77400532.8,50841560.29,39.64,1797,71364.55
ING00015,E01,Accenture Monterrey,Consultoría Global,2024,3,March,Q1,157595849.8,107832930.71,49762919.09,31.58,1824,86401.23
ING00016,E01,Accenture Monterrey,Consultoría Global,2024,4,April,Q2,156348152.53,101486455.35,54861697.17,35.09,1804,86667.49
ING00017,E01,Accenture Monterrey,Consultoría Global,2024,5,May,Q2,179097274.36,122674540.05,56422734.32,31.5,1793,99886.93
ING00018,E01,Accenture Monterrey,Consultoría Global,2024,6,June,Q2,165069387.23,118593077.94,46476309.29,28.16,1800,91705.22
ING00019,E01,Accenture Monterrey,Consultoría Global,2024,7,July,Q3,165802656.73,114268008.33,51534648.4,31.08,1829,90652.08
ING00020,E01,Accenture Monterrey,Consultoría Global,2024,8,August,Q3,177185295.47,112287439.61,64897855.85,36.63,1806,98109.24
ING00021,E01,Accenture Monterrey,Consultoría Global,2024,9,September,Q3,164299583.32,105112736.9,59186846.43,36.02,1811,90723.13
ING00022,E01,Accenture Monterrey,Consultoría Global,2024,10,October,Q4,181015024.02,118985991.16,62029032.85,34.27,1789,101182.24
ING00023,E01,Accenture Monterrey,Consultoría Global,2024,11,November,Q4,146203791.78,101690789.91,44513001.88,30.45,1796,81405.23
ING00024,E01,Accenture Monterrey,Consultoría Global,2024,12,December,Q4,178461906.85,126323054.24,52138852.62,29.22,1807,98761.43
ING00025,E02,Tata Consultancy Services,Outsourcing Global,2023,1,January,Q1,74311149.41,44505617.33,29805532.07,40.11,1230,60415.57
ING00026,E02,Tata Consultancy Services,Outsourcing Global,2023,2,February,Q1,75851647.51,52519408.19,23332239.32,30.76,1249,60729.9
ING00027,E02,Tata Consultancy Services,Outsourcing Global,2023,3,March,Q1,85893115.51,56833833.98,29059281.54,33.83,1219,70461.95
ING00028,E02,Tata Consultancy Services,Outsourcing Global,2023,4,April,Q2,88875028.76,56850866.51,32024162.25,36.03,1181,75254.05
ING00029,E02,Tata Consultancy Services,Outsourcing Global,2023,5,May,Q2,92621632.61,63472706.43,29148926.18,31.47,1180,78492.91
ING00030,E02,Tata Consultancy Services,Outsourcing Global,2023,6,June,Q2,85613547.63,55586865.97,30026681.66,35.07,1208,70872.14
ING00031,E02,Tata Consultancy Services,Outsourcing Global,2023,7,July,Q3,77445497.9,53196259.46,24249238.44,31.31,1226,63169.25
ING00032,E02,Tata Consultancy Services,Outsourcing Global,2023,8,August,Q3,89052698.47,52685288.89,36367409.58,40.84,1205,73902.65
ING00033,E02,Tata Consultancy Services,Outsourcing Global,2023,9,September,Q3,96579836.64,62828855.46,33750981.18,34.95,1242,77761.54
ING00034,E02,Tata Consultancy Services,Outsourcing Global,2023,10,October,Q4,91448553.02,57896570.27,33551982.75,36.69,1212,75452.6
ING00035,E02,Tata Consultancy Services,Outsourcing Global,2023,11,November,Q4,80574396.99,47099990.15,33474406.84,41.54,1249,64511.13
ING00036,E02,Tata Consultancy Services,Outsourcing Global,2023,12,December,Q4,95443381.7,59149870.13,36293511.57,38.03,1188,80339.55
ING00037,E02,Tata Consultancy Services,Outsourcing Global,2024,1,January,Q1,84344943.7,50418457.45,33926486.25,40.22,1184,71237.28
ING00038,E02,Tata Consultancy Services,Outsourcing Global,2024,2,February,Q1,79133279.75,52527480.81,26605798.95,33.62,1229,64388.35
ING00039,E02,Tata Consultancy Services,Outsourcing Global,2024,3,March,Q1,99281040.46,67996468.99,31284571.47,31.51,1245,79743.81
ING00040,E02,Tata Consultancy Services,Outsourcing Global,2024,4,April,Q2,100752039.27,68847041.09,31904998.18,31.67,1199,84030.06
