encuesta_id,empleado_id,empresa_id,empresa,rol,nivel,anio,satisfaccion_general,satisfaccion_salario,satisfaccion_ambiente,satisfaccion_crecimiento,satisfaccion_liderazgo,intencion_salida,razon_posible_salida
ENC000001,EMP05539,E06,BairesDev,Software Developer,Senior,2023,4.9,4.6,5.0,5.0,5.0,Tal vez,Startup propia
ENC000002,EMP05539,E06,BairesDev,Software Developer,Senior,2024,4.0,3.9,4.0,3.5,4.3,Tal vez,Mejor salario
ENC000003,EMP01678,E01,Accenture Monterrey,Frontend Developer,Junior,2023,3.5,3.4,3.7,4.2,3.3,No,Crecimiento profesional
ENC000004,EMP01965,E02,Tata Consultancy Services,Software Developer,Junior,2023,3.6,3.2,3.7,3.2,3.5,No,Startup propia
ENC000005,EMP01965,E02,Tata Consultancy Services,Software Developer,Junior,2024,4.4,4.2,4.7,4.1,4.6,No,Mejor salario
ENC000006,EMP03026,E02,Tata Consultancy Services,Full Stack Developer,Junior,2023,3.9,4.0,4.1,4.3,3.7,Tal vez,Mejor salario
ENC000007,EMP03026,E02,Tata Consultancy Services,Full Stack Developer,Junior,2024,3.3,2.4,3.4,3.0,3.1,No,Trabajo remoto
ENC000008,EMP06259,E07,Hexaware Technologies,Cybersecurity Analyst,Mid,2023,3.3,3.3,3.2,3.3,3.4,Sí,Mejor salario
ENC000009,EMP06259,E07,Hexaware Technologies,Cybersecurity Analyst,Mid,2024,3.3,3.4,3.5,2.7,3.4,Tal vez,Mejor salario
ENC000010,EMP06305,E07,Hexaware Technologies,Cybersecurity Analyst,Junior,2024,4.2,4.7,4.4,4.1,4.0,No,Crecimiento profesional
ENC000011,EMP02437,E02,Tata Consultancy Services,Software Developer,Senior,2024,5.0,4.7,5.0,4.6,5.0,No,Mejor salario
ENC000012,EMP04527,E04,Infosys Monterrey,Software Developer,Mid,2023,3.9,3.6,4.0,3.8,3.9,Tal vez,Crecimiento profesional
ENC000013,EMP04527,E04,Infosys Monterrey,Software Developer,Mid,2024,3.9,3.6,4.1,3.8,3.8,Sí,Crecimiento profesional
ENC000014,EMP02465,E02,Tata Consultancy Services,Full Stack Developer,Mid,2023,4.1,4.4,4.4,4.3,4.2,No,Crecimiento profesional
ENC000015,EMP02465,E02,Tata Consultancy Services,Full Stack Developer,Mid,2024,4.9,5.0,5.0,5.0,5.0,No,Startup propia
ENC000016,EMP03535,E03,Neoris,Software Developer,Mid,2023,4.3,4.4,4.5,4.1,4.4,No,Mejor salario
ENC000017,EMP02522,E02,Tata Consultancy Services,Scrum Master,Mid,2023,4.6,4.7,4.7,4.7,4.8,No,Mejor salario
ENC000018,EMP02522,E02,Tata Consultancy Services,Scrum Master,Mid,2024,4.8,4.7,5.0,4.7,4.7,Sí,Crecimiento profesional
ENC000019,EMP06514,E08,AZKA IT Consulting,Data Analyst,Senior,2024,4.0,3.6,4.6,3.7,4.1,Tal vez,Cambio de ciudad
